_sentence,_receivers,count_receivers,sentence_id,time,time difference,latitude,longitude,altitude,velocity,acceleration,satellites,temperature_external,pressure,humidity,temperature_internal (raw),temperature_internal (corrected),sentence_id,nofix,time,satellites,temperature_external,pressure,humidity,uptime,temperature_internal
"$$SAM,250,14:34:51,51.894363,-2.354294,4987,12,-23.02,518.82,23.34,248.5*1490","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,250,14:34:51,0:00:16,51.894363,-2.354294,4987,6.19,1.47,12,-23.02,518.82,23.34,248.5,-7.5,250,,14:34:51,12,-23.02,518.82,23.34,,248.5
"$$SAM,251,14:35:08,51.893395,-2.351469,5076,12,-23.75,511.84,22.75,248.125*6376","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,251,14:35:08,0:00:17,51.893395,-2.351469,5076,5.24,-0.95,12,-23.75,511.84,22.75,248.125,-7.875,251,,14:35:08,12,-23.75,511.84,22.75,,248.125
"$$SAM,252,14:35:26,51.892507,-2.348857,5170,12,-26.49,505.03,22.37,247.625*3447","G6GZH,G8FJG-V,G8FJG_azel,G8KNN,G7SVI",5,252,14:35:26,0:00:18,51.892507,-2.348857,5170,5.22,-0.01,12,-26.49,505.03,22.37,247.625,-8.375,252,,14:35:26,12,-26.49,505.03,22.37,,247.625
"$$SAM,253,14:35:43,51.891964,-2.345559,5247,12,-26.9,499.27,22.31,247.0*7752","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,253,14:35:43,0:00:17,51.891964,-2.345559,5247,4.53,-0.69,12,-26.9,499.27,22.31,247,-9,253,,14:35:43,12,-26.9,499.27,22.31,,247
"$$SAM,254,14:36:01,51.89083,-2.34202,5323,12,-28.5,493.82,22.21,246.5*614A","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,254,14:36:01,0:00:18,51.89083,-2.34202,5323,4.22,-0.31,12,-28.5,493.82,22.21,246.5,-9.5,254,,14:36:01,12,-28.5,493.82,22.21,,246.5
"$$SAM,255,14:36:17,51.889702,-2.339687,5420,12,-29.12,486.93,21.71,245.75*B752","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,255,14:36:17,0:00:16,51.889702,-2.339687,5420,6.06,1.84,12,-29.12,486.93,21.71,245.75,-10.25,255,,14:36:17,12,-29.12,486.93,21.71,,245.75
"$$SAM,256,14:36:35,51.888794,-2.335472,5506,12,-30.77,480.82,20.24,245.375*5248","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,256,14:36:35,0:00:18,51.888794,-2.335472,5506,4.78,-1.28,12,-30.77,480.82,20.24,245.375,-10.625,256,,14:36:35,12,-30.77,480.82,20.24,,245.375
"$$SAM,257,14:36:52,51.887778,-2.332266,5574,12,-29.93,476.33,19.85,244.75*4DD8","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,257,14:36:52,0:00:17,51.887778,-2.332266,5574,4.00,-0.78,12,-29.93,476.33,19.85,244.75,-11.25,257,,14:36:52,12,-29.93,476.33,19.85,,244.75
"$$SAM,258,14:37:10,51.886907,-2.328539,5665,12,-28.93,469.78,19.41,244.75*EED6","G8KNN,JDL,G6GZH,G7SVI",4,258,14:37:10,0:00:18,51.886907,-2.328539,5665,5.06,1.06,12,-28.93,469.78,19.41,244.75,-11.25,258,,14:37:10,12,-28.93,469.78,19.41,,244.75
"$$SAM,259,14:37:27,51.885922,-2.325004,5747,12,-30.09,463.92,18.09,244.5*C6B1","JDL,G6GZH,G7SVI,G8KNN,G8FJG_azel",5,259,14:37:27,0:00:17,51.885922,-2.325004,5747,4.82,-0.23,12,-30.09,463.92,18.09,244.5,-11.5,259,,14:37:27,12,-30.09,463.92,18.09,,244.5
"$$SAM,260,14:37:45,51.884544,-2.321166,5843,12,-30.05,457.6,17.45,244.25*D23A","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,260,14:37:45,0:00:18,51.884544,-2.321166,5843,5.33,0.51,12,-30.05,457.6,17.45,244.25,-11.75,260,,14:37:45,12,-30.05,457.6,17.45,,244.25
"$$SAM,261,14:38:01,51.883604,-2.317556,5939,12,-31.44,451.35,16.72,244.0*146F","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,261,14:38:01,0:00:16,51.883604,-2.317556,5939,6.00,0.67,12,-31.44,451.35,16.72,244,-12,261,,14:38:01,12,-31.44,451.35,16.72,,244
"$$SAM,262,14:38:18,51.883288,-2.313613,6035,12,-31.84,444.99,16.07,243.375*9739","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,262,14:38:18,0:00:17,51.883288,-2.313613,6035,5.65,-0.35,12,-31.84,444.99,16.07,243.375,-12.625,262,,14:38:18,12,-31.84,444.99,16.07,,243.375
"$$SAM,263,14:38:36,51.883262,-2.308503,6139,12,-29.82,437.94,15.97,243.125*8193","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,263,14:38:36,0:00:18,51.883262,-2.308503,6139,5.78,0.13,12,-29.82,437.94,15.97,243.125,-12.875,263,,14:38:36,12,-29.82,437.94,15.97,,243.125
"$$SAM,264,14:38:54,51.882942,-2.303444,6236,12,-31.55,431.87,15.1,242.375*88E4","JDL,G8FJG_azel,G8KNN,G7SVI,G8FJG-V,G6GZH",6,264,14:38:54,0:00:18,51.882942,-2.303444,6236,5.39,-0.39,12,-31.55,431.87,15.1,242.375,-13.625,264,,14:38:54,12,-31.55,431.87,15.1,,242.375
"$$SAM,267,14:39:46,51.88205,-2.288484,6519,12,-35.2,413.88,14.34,240.875*E96C","G6GZH,G8KNN",2,267,14:39:46,0:00:52,51.88205,-2.288484,6519,5.44,0.05,12,-35.2,413.88,14.34,240.875,-15.125,267,,14:39:46,12,-35.2,413.88,14.34,,240.875
"$$SAM,268,14:40:04,51.881665,-2.283411,6599,12,-35.95,408.7,14.22,240.0*ADA3","G1BLO,JDL,G8FJG_azel,G8KNN,G6GZH",5,268,14:40:04,0:00:18,51.881665,-2.283411,6599,4.44,-1.00,12,-35.95,408.7,14.22,240,-16,268,,14:40:04,12,-35.95,408.7,14.22,,240
"$$SAM,269,14:40:20,51.881514,-2.278126,6677,12,-34.7,403.85,14.3,239.875*57E5","G6GZH,G7SVI",2,269,14:40:20,0:00:16,51.881514,-2.278126,6677,4.88,0.43,12,-34.7,403.85,14.3,239.875,-16.125,269,,14:40:20,12,-34.7,403.85,14.3,,239.875
"$$SAM,270,14:40:37,51.880983,-2.272337,6753,12,-35.93,399.44,14.08,239.625*60B0","G8FJG_azel,JDL,G6GZH,G8KNN,G7SVI",5,270,14:40:37,0:00:17,51.880983,-2.272337,6753,4.47,-0.40,12,-35.93,399.44,14.08,239.625,-16.375,270,,14:40:37,12,-35.93,399.44,14.08,,239.625
"$$SAM,271,14:40:55,51.880368,-2.266491,6833,12,-34.33,394.54,14.02,239.25*318B","G8KNN,JDL,G6GZH,G7SVI",4,271,14:40:55,0:00:18,51.880368,-2.266491,6833,4.44,-0.03,12,-34.33,394.54,14.02,239.25,-16.75,271,,14:40:55,12,-34.33,394.54,14.02,,239.25
"$$SAM,272,14:41:13,51.879468,-2.260329,6896,12,-34.65,390.91,13.76,239.0*84A3","G1BLO,JDL,G7SVI,G8KNN,G6GZH",5,272,14:41:13,0:00:18,51.879468,-2.260329,6896,3.50,-0.94,12,-34.65,390.91,13.76,239,-17,272,,14:41:13,12,-34.65,390.91,13.76,,239
"$$SAM,273,14:41:30,51.878793,-2.25417,6958,12,-32.29,387.53,13.69,239.0*E173","G1BLO,JDL,G6GZH,G8KNN,G7SVI",5,273,14:41:30,0:00:17,51.878793,-2.25417,6958,3.65,0.15,12,-32.29,387.53,13.69,239,-17,273,,14:41:30,12,-32.29,387.53,13.69,,239
"$$SAM,274,14:41:46,51.878152,-2.248467,7004,12,-33.01,384.76,13.22,238.625*DCA4","JDL,G8FJG_azel,G8KNN,G7SVI,G1BLO,G8FJG-V,G6GZH",7,274,14:41:46,0:00:16,51.878152,-2.248467,7004,2.88,-0.77,12,-33.01,384.76,13.22,238.625,-17.375,274,,14:41:46,12,-33.01,384.76,13.22,,238.625
"$$SAM,275,14:42:04,51.877305,-2.241657,7065,12,-34.72,381.15,12.74,238.25*6A74","G1BLO,JDL,G7SVI,G8KNN,G6GZH",5,275,14:42:04,0:00:18,51.877305,-2.241657,7065,3.39,0.51,12,-34.72,381.15,12.74,238.25,-17.75,275,,14:42:04,12,-34.72,381.15,12.74,,238.25
"$$SAM,276,14:42:21,51.87651,-2.235431,7133,12,-33.54,377.23,12.55,238.125*AA66","G1BLO,G6GZH,G8FJG_azel,G8KNN,G7SVI",5,276,14:42:21,0:00:17,51.87651,-2.235431,7133,4.00,0.61,12,-33.54,377.23,12.55,238.125,-17.875,276,,14:42:21,12,-33.54,377.23,12.55,,238.125
"$$SAM,277,14:42:39,51.875481,-2.229122,7217,12,-34.04,372.84,12.35,237.75*FB5B","JDL,G8FJG_azel,G8KNN,G7SVI,G1BLO,G8FJG-V,G6GZH",7,277,14:42:39,0:00:18,51.875481,-2.229122,7217,4.67,0.67,12,-34.04,372.84,12.35,237.75,-18.25,277,,14:42:39,12,-34.04,372.84,12.35,,237.75
"$$SAM,278,14:42:56,51.874297,-2.222975,7285,12,-33.53,368.73,12.3,237.625*1346","JDL,G8FJG_azel,F5APQ,G8KNN,G7SVI,G1BLO,G8FJG-V,G6GZH",8,278,14:42:56,0:00:17,51.874297,-2.222975,7285,4.00,-0.67,12,-33.53,368.73,12.3,237.625,-18.375,278,,14:42:56,12,-33.53,368.73,12.3,,237.625
"$$SAM,279,14:43:14,51.873203,-2.215869,7369,12,-32.02,364.24,12.2,237.625*A7F6","JDL,G8FJG_azel,F5APQ,G8KNN,G7SVI,G1BLO,G8FJG-V,G6GZH",8,279,14:43:14,0:00:18,51.873203,-2.215869,7369,4.67,0.67,12,-32.02,364.24,12.2,237.625,-18.375,279,,14:43:14,12,-32.02,364.24,12.2,,237.625
